,base_text,model,prediction,confidence
0,"The Capitol Hill massacre is a significant event in the history of Seattle, Washington that took place on March 25, 2006. In this incident, a lone gunman named Kyle Huff went on a shooting spree at a rave afterparty, causing the death of six people and critically injuring others before he finally took his own life. The incident occurred at a house located in the Capitol Hill neighborhood of Seattle, which led to the event being called the ""Capitol Hill massacre"". Huff, who had attended the rave party earlier that night, returned to the site with a shotgun and a handgun, opening fire on the party attendees. This rueful incident heavily impacted the local community, raising serious concerns about gun control laws and provoking discussions on mental health issues. Survivors and witnesses of the massacre later struggled with guilt and post-traumatic stress disorder, some even joining forces with local community organizations to raise awareness around gun violence and its consequences. In the years following the massacre, the city of Seattle strengthened its gun laws and invested more resources into mental health services. The Capitol Hill massacre represents a traumatic episode of violence towards the city's thriving arts scenes and its younger population; its legacy is one of consciousness about safety measures along with an ongoing discourse on the repercussions of gun violence at public gatherings in the U.S. The house underwent renovations and has since been converted into a unit of rental apartments, but the memory of the tragedy remains embedded in Seattle's collective memory.
",gpt4,ai,0.9997932945046397
1,"The 1921–22 Cardiff City F.C. season refers to the specific duration between 1921 and 1922 during which the Cardiff City Football Club participated in English competitive football. Spanning the football year, it was part of the club's chronological history that involved games in various competitions. This season marked the club's third consecutive season in the English first division, having secured promotion from the second division in the 1919–20 season. Managed by Fred Stewart, this was a critical year for Cardiff City F.C. in terms of national recognition and performance. Key players during the season included Fred Keenor and Len Davies, contributing significantly to the club's achievements. Cardiff City F.C’s performance in this season was eventful and ensured the continued survival of the club in the top tier of English football. Games during this season took place at the club's home ground, Ninian Park. The season’s dynamics, including wins, draws, and losses, played an instrumental role in Cardiff City F.C.’s journey and evolution in the world of football. The 1921-22 season is viewed with significance by fans and historians for its contribution to shaping the future of Cardiff City F.C. Each game, player involvement, and managerial decision in this season played a part in structuring the club's rich historical football tapestry.",gpt4,ai,0.9991781598830806
2,"Lefteris Lyratzis is a Greek professional footballer born on September 30, 2001. Born in Rhodes, Greece, the right-back began his football career with local team Rodos FC. His standout performances caught the attention of Thessaloniki-based club Aris Thessaloniki, where he signed his first senior contract. Lyratzis' top level debut came during the Super League Greece competition in 2019. He typically plays as a defender and his playing style is characterized by his speed, technical abilities, and defensive skills. Lefteris Lyratzis has shown himself to be a diligent and promising player, displaying significant potential and attracting interest from larger clubs. Despite his young age, Lyratzis has become a key figure for Aris Thessaloniki. His performances at the club have led to his recognition as one of the promising young talents in Greek football. As of 2021, he continues to enhance his reputation and develop his abilities, steadily building a prosperous career in professional football. Despite being in the early stages of his career, Lefteris Lyratzis has already made substantial contributions to his club and the world of football in general.",gpt4,ai,0.9997932945046397
3,"Underground Kingz, often abbreviated as UGK, is a prominent American hip hop duo originating from Port Arthur, Texas. UGK was formed in 1987 by the late Pimp C (Chad Butler) and his partner Bun B (Bernard Freeman). The name 'Underground Kingz' symbolizes their initial struggle and their journey from obscurity to mainstream success in the hip hop industry. The duo pioneered the Southern rap music scene, specifically the Texas hip hop scene, incorporating elements of soul, funk, and blues into their music. UGK gained considerable acclaim with their 1996 album ""Ridin' Dirty,"" which peaked at number 2 on the Billboard Top R&B/Hip-Hop Albums chart. In 2007, UGK achieved their first number one album with their self-titled release ""Underground Kingz"". Following Pimp C's untimely death in 2007, Bun B continued to honor UGK's legacy through solo projects and collaborations. Despite their mainstream success, UGK retained their 'underground' ethos, often expressing vivid commentaries on social issues and injustices. Their influence is widely recognized and respected in the hip hop community. UGK's contributions to hip hop have made them a crucial part of the genre's history and development.
",gpt4,ai,0.9997932945046397
4,"Jean Taylor is a notable figure in the realm of mathematics, particularly known for her contributions to geometric measure theory and calculus of variations. Born on February 14, 1944, she is an American mathematician and an esteemed professor emerita at Rutgers University. She completed her Ph.D. at Princeton University under the guidance of Frederick J. Almgren, Jr. in 1970.

Her research mainly revolves around the mathematics of material science and crystal growth, and she has made world-recognized contributions, including the Taylor's theorem in mathematics. As a well-acclaimed mathematician, she served as the Vice President of the American Mathematical Society (AMS) from 1995 to 1996. She earned the prestigious Noether Lecture award from the Association for Women in Mathematics in 2000 for her excellent contributions. Taylor also strongly advocates for the involvement of more women in mathematics and related fields. She is a member of the United States National Academy of Sciences and an Inaugural Fellow of the American Mathematical Society since 2012. Her work and achievements continue to inspire many within the scientific realm today. Her research has left a significant impact, notably on the structure of singularities in soap films and crystal growth, with widespread applications in numerous scientific fields.",gpt4,ai,0.9997932945046397
5,"T. T. Toliver is a highly recognized retired American football player whose professional career spanned over two decades. Born on January 31, 1976, in Daytona Beach, Florida, USA, Temarcus Terrell Toliver was well known for his contribution to the Arena Football League (AFL). After coming from Hinds Community College, his career pinnacle was his stint with the Tampa Bay Storm where he held multiple franchise records. Toliver also had successful tenures with other AFL teams, including the Orlando Predators and the Washington Valor. Not only is he famed for his record-breaking performances, but Toliver also gained accolades in the AFL championship series, the ArenaBowl. Furthermore, Toliver cemented his legacy as the all-time leader in receiving yards in AFL history. Throughout his illustrious career, he demonstrated remarkable consistency coupled with a knack for delivering in high-pressure situations. Post-retirement, Toliver remains an iconic figure, not just for his playing career, but also for his impact on the AFL. His contributions to the sport have carved out an enduring legacy, earning him respect and recognition on and off the field. His career underlines the significance of the AFL in the panorama of American sports and provides a blueprint for future athletes in the league.",gpt4,ai,0.9988893008845895
6,"Pat Crowley is a notable figure in rugby union, best known for his performance as a player in the Australia national team and as a coach. Born in Brisbane, Crowley began his sporting career playing for the Queensland Reds and quickly moved up the ranks to the national level, playing as a prop. The height of Crowley's playing career was his participation in the 1991 Rugby World Cup, where Australia emerged as winners. Following retirement from his successful playing stint, Crowley transitioned into coaching, further contributing to rugby union. He has held significant posts including the forward coach for the Wallabies and technical advisor for the Queensland Reds. His coaching skills have been lauded for improving team performance, particularly in areas like scrumming and forward pack play. Aside from Australia, Crowley has also been involved in the international rugby scene, taking up the position of head coach for the Japan national team. Throughout his career in rugby union, Crowley has been synonymous with excellence and innovation. His contribution to the sport, both as a player and a coach, has left a significant impact on rugby union in Australia and beyond. His legacy continues to influence the practice and tutoring of the sport, making him a vital figure in rugby union history.",gpt4,ai,1.0
7,"Gridman the Hyper Agent is a Japanese tokusatsu series, primarily targeted towards children, which held a television debut in 1993. Produced by Tsuburaya Productions, this series became a significant piece of the Ultraman franchise and adheres to its classic ""giant hero versus giant monster"" theme. The plot revolves around three middle-school students who must thwart impending danger from a digital world that interacts with the real one, with the help of a computer program turned superhero, Gridman. The character Gridman is the hyper agent who comes to life from a computer and battles monsters to keep humanity safe. Different from most tokusatsu series, Gridman the Hyper Agent innovatively used computer-generated graphics and simulations. This series lasted for 39 episodes and was adapted into the 2018 anime series SSSS.Gridman. The show was also localized in the United States as ""Superhuman Samurai Syber-Squad"". Gridman the Hyper Agent made a significant impact on the world of tokusatsu and the broader field of Japanese superhero programs. Its unique combination of technology and traditional tokusatsu storytelling has led to a persistent and enduring popularity. The Gridman character has evolved over time into a significant icon in Japanese popular culture.
",gpt4,ai,0.9988893008845895
8,"Karin Bryan is a distinguished physical oceanographer from New Zealand. She is particularly recognized for her significant contributions to coastal and estuary physics. Born in South Africa, Bryan moved to New Zealand where she later pursued her education. She acquired her PhD in Physics at the University of Auckland. Since then, Bryan has been on the faculty at the University of Waikato. Throughout her career, she has conducted crucial research on the impacts of sea level rise on coastal environments. Notably, she pioneered the development of numerical models that can predict the behavior of coastlines over long periods of time. Bryan is also an inspiring advocate for women in the sciences. Her diligent work has been widely acknowledged, which includes being a recipient of the Pickering Medal from the Royal Society Te Apārangi. Karin Bryan's lasting impact on the field of physical oceanography continues to inspire and promote further research on the world's oceans.",gpt4,ai,1.0
9,"The Crumpets is a term that refers to both a popular British dish and an animated television series.

In culinary terms, a crumpet is a small griddle cake made from flour and yeast that originated from the United Kingdom. It features a unique texture full of holes which allows it to absorb butter and other condiments. Crumpets are typically enjoyed during breakfast or tea time and are often served with spreads such as honey, jam or cream. 

Independently, The Crumpets is also an animated television show. Produced by 4 21 Productions, this French animated series premiered in 2013 and became popular among children for its fun and eccentric storytelling. The show narrates the life of a dysfunctional family of 142 crumpets living under one roof. Notably, even though the title is the same as the food, no references to the culinary crumpet are made throughout the series.
",gpt4,ai,0.8377984952181409
10,"Stenocarpus umbelliferus is a species of flowering plant, endemic to Australia. This species, commonly known as the Queensland Firewheel Tree, belongs to the Proteaceae family, which also includes plants like the Macadamia nut. It grows naturally in subtropical rainforests predominantly in the north-east of New South Wales and south-east of Queensland. The tree is small to medium in size and is characterized by its distinct beautiful inflorescence, which gives it its common name. 

The 'firewheel' reference is due to the unique red, wheel-shaped flowers that bloom during the winter months. Aside from being ornamental, these flowers are a vital nectar source for birds. Stenocarpus umbelliferus has glossy, dark green leaves and its fruits are follicles, which contain numerous winged seeds. Its timber has also been used for cabinet making due to its high-quality fine-grain wood. 

Generally, these trees are propagated from seeds, but can also be propagated from cuttings. Adaptable and increasingly used in street planting, Stenocarpus umbelliferus is a popular choice for decorative purposes due to its striking flowers and overall aesthetics.",gpt4,ai,0.6271288000750811
11,"Arnold Heights, California, is a community formerly located within the territory of the Lincoln Air Force Base in Lincoln, Nebraska. Despite the name, it is not situated in California, but rather in Nebraska, USA. The name is believed to be a tribute to General Henry ""Hap"" Arnold, a noted figure within United States Air Force history. The removal of the community occurred after the Lincoln Air Force Base was deactivated in the 1960s. Prior to its deactivation, the base served as home to thousands of military personnel and their families, giving rise to the community referred to as Arnold Heights. It consisted of hundreds of homes, schools, churches, a commissary, and a theater. After the base's shutdown, some of the buildings and land were repurposed, but much of the neighborhood of Arnold Heights was demolished. Today, other communities have developed from the space Arnold Heights once held. The site carries historical significance as it highlights the changing nature of military bases and their impacts on local communities. Arnold Heights is a reminder of the living communities that form within and around military environments.",gpt4,ai,0.9997932945046397
12,"Saskia Popescu is a prominent American infection prevention epidemiologist and biosecurity expert. She specializes in pandemic preparedness, biodefense, and emerging infectious diseases. Her work is driven by the belief that resource accessibility, science communication, and health literacy play pivotal roles in enhancing health security. She earned her doctorate in Biodefense from George Mason University and also holds a Master's in Public Health. She is currently a term assistant professor for the Biodefense Graduate Program at George Mason University's Schar School of Policy and Government. In response to the COVID-19 pandemic, Saskia Popescu has been a frequent contributor to discussions on pandemic preparedness and response in national media outlets. Dr Popescu has also worked as an Infection Prevention Epidemiologist in several hospitals in the U.S. She is a member of the Federation of American Scientists' Coronavirus Taskforce. She has also been granted fellowships from prominent organizations like the Emerging Leaders in Biosecurity Initiative.  Dr. Popescu is also recognized as a Certified Infection Preventionist by the Certification Board of Infection Control and Epidemiology.",gpt4,human,0.8866033184797697
13,"The Meadows Racetrack and Casino is a standardbred harness racing track and casino situated in North Strabane Township near Washington, Pennsylvania, United States. This gaming complex, established in 1963, is owned by Gaming and Leisure Properties and operationalized by Penn National Gaming. The original racetrack was complemented with slot machines in 2007, turning into a ""racino."" The casino consists of over 3,500 slot machines, along with a range of table games, poker rooms, and a sportsbook for those interested in betting. The complex also includes restaurants, entertainment venues, and a bowling alley. 

The racetrack is home to various notable races, including the Adios Pace for the Orchids, an annual event attracting premier harness racing talent since 1967. The Meadows typically hosts racing 208 days a year, often under the lights in the evening during the warmer months. The property’s massive space and diverse amenities make it a major attraction in Pennsylvania. It is also the first racecourse in the state to receive accreditation from the National Thoroughbred Racing Association's Safety and Integrity Alliance. The Meadows Racetrack and Casino combine entertainment, dining, and gaming to deliver a varied experience for its patrons.",gpt4,ai,0.9997932945046397
