,base_text,model,prediction,confidence
0,"Mary I of England was the queen of England from 1553 to 1558. She was the daughter of King Henry VIII and his first wife, Catherine of Aragon. She was known for her Catholicism and her efforts to restore the Church of England to its former glory. However, she faced opposition from Protestant reformers who wanted to abolish the Church of England altogether. Despite this, Mary I managed to pass several laws that strengthened the power of the monarchy and helped to modernize the country. She was succeeded by her half-sister, Queen Elizabeth I, who became known as the ""Virgin Queen.""",falcon,human,89
1,"Edmund John Glyn Hooper was an English author and poet who lived from 1865 to 1924. He is best known for his collection of poems titled ""The Songs of the Sea,"" which was published in 1903. Hooper's poetry often reflected his love for the sea, as well as his fascination with the supernatural and mystical.

Hooper was born in London, England, on March 12, 1865. He attended school at St. Paul's School in Hammersmith, where he developed a passion for literature and writing. After leaving school, Hooper worked as a clerk for several years before turning to writing full-time.

Hooper's poetry often featured themes of love, loss, and the supernatural. He was particularly interested in the folklore and mythology of his homeland, England, and often incorporated these elements into his work. His poems were known for their vivid imagery and haunting melodies.

In addition to",falcon,human,89
2,"Sure, here's an explanation of PS Tashmoo in plain text:

PS Tashmoo is a private school located in the heart of Washington D.C. It was founded in 1912 and has been providing quality education to students for over a century. The school offers a rigorous academic program that prepares students for success in college and beyond.

The student body at PS Tashmoo is diverse, with students from all backgrounds and cultures. The faculty members are highly qualified and experienced, with many holding advanced degrees in their fields. They work closely with each student to ensure they receive the support and guidance needed to succeed academically and personally.

PS Tashmoo offers a wide range of extracurricular activities for its students, including sports teams, music programs, drama productions, and more. These opportunities help students develop important skills such as teamwork, leadership, and creativity.

The school's facilities are state-of-the-art, with",falcon,human,89
3,"Lewis, Indiana is a small town located in the southern part of the state. It has a population of approximately 1,500 people and covers an area of 0.5 square miles. The town was named after William Lewis, who was one of the early settlers in the area.

The economy of Lewis, Indiana is primarily based on agriculture, with corn, soybeans, and wheat being the main crops grown in the region. The town also has a small number of businesses, including restaurants, gas stations, and convenience stores.

Lewis, Indiana is home to several parks and recreational areas, including the Lewis Park, which features a playground, walking trails, and picnic areas. The town also hosts an annual festival, the Lewis Harvest Festival, which celebrates the local agricultural heritage and includes activities such as tractor pulls, corn husking contests, and live music performances.

The history of Lewis, Indiana dates back to the early 1800s when it was first settled by",falcon,human,82
4,"EvoShield is a brand of protective gear for athletes, particularly baseball players, that was founded in 2007 by former professional baseball player Chris Correa. The company's flagship product is a wrist guard that provides protection against ball impact and can be worn under the athlete's uniform. EvoShield also offers other protective gear such as elbow guards, shin guards, and helmets.

The wrist guard is made of a lightweight, breathable material that conforms to the athlete's hand and wrist, providing a snug fit without hindering movement or grip strength. The wrist guard has been praised for its durability and ability to withstand multiple impacts without losing its protective properties.

EvoShield has gained popularity among athletes in various sports, including baseball, softball, football, hockey, and lacrosse. The company's products have also been used by military personnel and law enforcement officers for tactical protection.

In addition to providing protective gear, EvoShield offers a mobile app called ",falcon,human,89
5,"Round Rock Public Library is a public library located in Round Rock, Texas. It was established in 1955 and has since become an important part of the community's cultural and educational landscape. The library offers a wide range of services and resources to patrons, including books, magazines, newspapers, DVDs, CDs, and online databases. In addition to traditional library materials, the library also provides access to e-books, audiobooks, and other digital content. The library is open to all residents of Round Rock and surrounding areas, regardless of age or income level. It is staffed by a team of dedicated librarians who are committed to providing high-quality service and support to patrons.",falcon,human,55
6,"The Atlantic Community is a network of people and organizations that share a common interest in promoting cooperation and collaboration between countries in the Western Hemisphere. The community includes individuals from various backgrounds, including government officials, business leaders, academics, and civil society representatives. The goal of the Atlantic Community is to strengthen economic, political, and cultural ties among its members and promote shared values such as democracy, human rights, and environmental sustainability. The community also works on issues related to security, trade, education, and development in the region.",falcon,human,89
7,"Jacques Heim was a French choreographer and dancer who is best known for his work with the Ballet de l'Opéra de Paris during the mid-20th century. He began his career as a dancer in the company, but later became a choreographer and director, creating works that explored themes of modernism, abstraction, and the human condition. Heim was also an influential teacher, mentoring many dancers who went on to become leading figures in contemporary dance.",falcon,human,72
8,"St Thomas More Language College is a private independent school located in the city of San Francisco, California. It was founded in 1969 and has been providing quality education to students for over five decades. The school offers a comprehensive curriculum that includes English language instruction, mathematics, science, social studies, and foreign languages such as Spanish, French, and Mandarin.

The school is named after St Thomas More, an English lawyer and statesman who served as Lord Chancellor under King Henry VIII in the 16th century. He was known for his commitment to justice, integrity, and religious freedom. The school's motto, ""Veritas,"" which means truth, reflects its emphasis on academic excellence and moral character development.

St Thomas More Language College is a co-educational institution that enrolls students from kindergarten through twelfth grade. It has a diverse student body representing over 50 nationalities and speaks more than 20 languages. The school's faculty consists of experienced teachers who",falcon,uncertain,48
9,"Trey Parker is an American animator, voice actor, writer, and producer. He is best known for co-creating the animated television series South Park with his longtime friend Matt Stone. The show premiered on August 13, 1997, and has since become one of the longest-running animated series in history.

Parker was born on December 4, 1963, in Davenport, Iowa, to a family of artists. He attended the University of Colorado at Boulder, where he studied film and animation. After graduation, he moved to Los Angeles to pursue his career in animation.

In addition to South Park, Parker has worked on several other animated series, including The Adventures of Jimmy Neutron: Boy Genius, Family Guy, and Team America: World Police. He has also directed several films, including the 2004 comedy film Cannibal! The Musical.

Parker is known for his irreverent humor and satirical take on American culture.",falcon,human,77
10,"Magister is a type of degree awarded by universities in various countries. It is typically a higher-level academic degree that requires completion of coursework and research, and may be used to qualify for advanced positions or as a prerequisite for further studies. The term ""magister"" is often translated into English as ""master,"" which reflects the emphasis on advanced knowledge and skills gained through the degree program.",falcon,human,89
