,base_text,model,prediction,confidence
0,"Ognjen Cvitan (born 10 October 1961) is a Croatian chess player. He earned the title of International Master by winning the 1981 World Junior Championship. He was awarded the title of Grandmaster by FIDE in 1987. Cvitan was born in Sibenik (then Yugoslavia). He made his debut for Yugoslavia's C team at the 1990 Chess Olympiad, held in Novi Sad, recording a plus score on board one. At the Manila Olympiad of 1992, he played on the second reserve board for Croatia and earned an individual gold medal. Cvitan competed in the FIDE World Chess Championship 2002, where he was knocked out in the first round by Alexander Lastin. He took first places, either outright or shared, in a number of tournaments. In the late 1980s, these included Wolfsberg 1986, Prague 1987, Pula 1987 and 1988, Mendrisio 1987, 1988 and 1989, San Bernardino 1987, Belgrade 1987, Geneva 1988, Bela Crkva 1988, Oberwart 1988, Chiasso 1989, and Vrsac 1989. The 1990s were almost as fruitful for him, his first place tally including Cannes 1990 and 1996, Dubrovnik 1990, Bad Ragaz 1992, Forli 1993, Basel 1999 and Zurich 1999. ",human,human,89
1,"Claybank Log Church is a historic church in Ozark, Alabama. The building is the second church on the site, replacing a similar structure built in 1829. The current building was constructed by a Methodist minister, although the church was also used for various community functions. It is believed to be the oldest extant building in Dale County. In 1873, the congregation built a new church closer to the center of town. The log church was used only sporadically after 1900, and was purchased by the Claybank Memorial Association in the 1960s. The interior of the church was restored to its original appearance in 1980. The church consists of one large room, measuring 30 feet, 5 inches, by 25 feet, 3 inches (approximately 9 by 7.5 meters). The walls are formed by pine logs ranging in diameter from 12 to 15.5 inches (30 to 40 cm) joined at the corners by dovetail joints. It was added to the National Register of Historic Places November 7, 1976. ",human,human,89
2,"Linanthus pungens (syn. Leptodactylon pungens) is a species of flowering plant in the phlox family known by the common names granite prickly-phlox and granite gilia. It is native to western North America from British Columbia to Baja California and east to Montana and New Mexico. This plant has been called a shrub or a perennial herb with an especially woody base. It produces several stems which may grow erect or may be short and spreading, forming a mat. Mat-forming plants are more common at higher elevations. When erect it can reach 80 centimeters (2.6 feet) in height but it is usually shorter. The stems are densely covered in solid, narrow, sharp-pointed leaves. Flowers are solitary or grow in clusters at the ends of the stems. ",human,human,89
3,"Anthony Cunningham (born 16 June 1965) is a former hurler who has since managed various Gaelic football and hurling teams. He is the current manager of the Roscommon county football team. He is the only manager to lead a football team and a hurling team to provincial titles in two different provinces. Born in Peterswell, County Galway, Cunningham was raised in a hurling stronghold in the south of the county. He was a two-time Connacht medallist at colleges level with Our Lady's College while simultaneously joining the St Thomas's senior club team. Cunningham made his debut on the inter-county scene at the age of fifteen when he first linked up with the Galway minor team. An All-Ireland-winning captain in this grade, he later captained Galway to an All-Ireland title with the under-21 team. Cunningham joined the senior panel during the 1983-84 league. He went on to play a key role for Galway in attack during a hugely successful era, and won two All-Ireland medals and one National Hurling League medal. He was an All-Ireland runner-up on four occasions. ",human,human,89
4,"Annie Lanzillotto (born June 1, 1963) is an American author, poet, songwriter, director, actor, podcaster, and performance artist. Her book, L Is for Lion: An Italian Bronx Butch Freedom Memoir was published by State University of New York Press. 2013. Her book of poetry, Schistsong was published by Bordighera Press. 2013. Her double flip book of poetry and prose, Hard Candy: Caregiving, Mourning, and Stage Light and Pitch Roll Yaw was published by Guernica Editions 2018. Her podcast Annie's Story Cave commenced while sheltering in place alone in 2020. She is the Artistic Director of Street Cry Inc. Lanzillotto is a member of Actors' Equity, Dramatists Guild of America, PEN America, Remember the Triangle Fire Coalition, Malia: a Collective of Italian American Women, The Italian American Writers Association (IAWA), a blogger for i-Italy.com, and has been a Writer-in-Residence at Hedgebrook, Santa Fe Art Institute and New Jersey City University. Lanzillotto has shared her history for the Sophia Smith Collection at Smith College's Documenting Lesbian Lives Oral History Project. She has taught Solo-Theater at The Actor's Theatre of Louisville. ",human,human,89
5,"Angers  is a city in western France, about southwest of Paris. It is the prefecture of the Maine-et-Loire department and was the capital of the province of Anjou until the French Revolution. The inhabitants of both the city and the province are called Angevins or, more rarely, Angeriens. Angers proper covers and has a population of 152, 960 inhabitants, while around 422, 700 live in its metropolitan area (aire urbaine). The Angers Loire Metropole is made up of 29 communes covering with 296, 000 inhabitants (2017). Not including the broader metropolitan area, Angers is the third most populous commune in northwestern France after Nantes and Rennes and the 18th most populous commune in France. For centuries, Angers was an important stronghold in northwestern France. It was the cradle of the Plantagenet dynasty and became one of the intellectual centers of Europe during the reign of Rene of Anjou. Angers developed at the confluence of three rivers, the Mayenne, the Sarthe, and the Loir, all coming from the north and flowing south to the Loire. Their confluence, just north of Angers, creates the Maine, a short but wide river that flows into the Loire several kilometres south. ",human,human,82
6,"Luquetia lobella is a moth of the family Depressariidae. It is found in most of Europe, except Ireland, the Iberian Peninsula, Finland, Estonia and most of the Balkan Peninsula. thumb|left|200px|A sloe leaf folded downwards by larva thumb|left|200px|Larva The wingspan is 23-26 mm. Adults are on wing in June. The larvae feed on blackthorn (Prunus spinosa), hawthorn (Crataegus species) and Sorbus species. They feed from a spinning amongst the leaves, which are rolled downwards. Larvae can be found from mid-July to the beginning of October and are bright green with a white stripe. Pupation takes place in a silken cocoon amongst leaf-litter. The species overwinters in the pupal stage. ",human,human,88
7,"Troqueer is a former village and a parish in the historic county of Kirkcudbrightshire in Dumfries and Galloway on the west side of the River Nith.. The eastern-side was merged with Dumfries to the east in 1929, and today eastern Troqueer is a suburb of Dumfries.. Location.Troqueer lies on the west side of the Nith, and was originally in Kirkcudbrightshire.. The parish has an area of  including the former burgh of Maxwelltown in the northeastern portion.. It is about  from north to south and  from east to west, and is bordered on the east by the Nith.. An 1846 account said the parish included some woodland and plantations, but was mainly arable, meadow, and pasture. It went on:.""The surface is intersected by three nearly equidistant and parallel ranges of heights, the first of which, rising gradually from the river, has been long in a high state of cultivation, and contains several nursery grounds and gardens of great fertility. The valley between it and the second ridge is also fruitful, and is watered by the Cargen, which flows into the Nith. The second ridge, of greater elevation, produces excellent crops of turnips and potatoes, with wheat, barley, and oats; and the interval between it and the third ridge is partly good meadow land, but chiefly moss, which might at a moderate expense be brought into tillage. The third ridge, and the highest, extends through the whole length of the parish; it is arable on the acclivities nearly to the summit, and though less fertile than the others, yields remunerating crops.",human,human,53
8,"Berlin Hauptbahnhof (English: Berlin Central Station) is the main railway station in Berlin, Germany. It came into full operation two days after a ceremonial opening on 26 May 2006. It is located on the site of the historic Lehrter Bahnhof, and on the Berlin S-Bahn suburban railway. The station is operated by DB Station&Service, a subsidiary of Deutsche Bahn AG, and is classified as a Category 1 station, one of 21 in Germany and four in Berlin, the others being Berlin Gesundbrunnen, Berlin Sudkreuz and Berlin Ostbahnhof. Lehrter Bahnhof (Lehrte Station) opened in 1871 as the terminus of the railway linking Berlin with Lehrte, near Hanover, which later became Germany's most important east-west main line. In 1882, with the completion of the Stadtbahn (City Railway, Berlin's four-track central elevated railway line, which carries both local and main line services), just north of the station, a smaller interchange station called Lehrter Stadtbahnhof was opened to provide connections with the new line. This station later became part of the Berlin S-Bahn. In 1884, after the closure of nearby Hamburger Bahnhof (Hamburg Station), Lehrter Bahnhof became the terminus for trains to and from Hamburg. Following heavy damage during World War II, limited services to the main station were resumed, but then suspended in 1951. In 1957, with the railways to West Berlin under the control of East Germany, Lehrter Bahnhof was demolished, but Lehrter Stadtbahnhof remained as a stop on the S-Bahn. ",human,human,89
9,"Thomas Nuthall (died 7 March 1775) was an English politician and attorney who played an historic role in the ministries of William Pitt, Lord Bute, and Lord Rockingham. He was probably from Norfolk, and his first appointments came from Robert Walpole, who placed him in the Excise Office in 1740. By 1749, Nuthall was the receiver of hackney coaches. Horace Walpole used Nuthall to get Margaret Nicoll freed to marry George Walpole in 1751, but he thought Nuthall corrupt and mistrusted him. In 1757, Nuthall married Susan, the widow of his friend Hambleton Custance. By the time of his death, he had remarried, so the mother of Nuthall's legitimate son, Robert, could be either woman. (Nuthall had two bastard children as well.) William Pitt became Nuthall's protector and sponsor in the 1750s, and his connection to the family would remain steadfast. Generally, Nuthall was employed as an intermediary or ""ambassador"" between various political factions and Pitt. His first service in this regard was between Pitt and Thomas Pelham on bringing down Lord Bute's government. ",human,human,89
